agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
OFFICE FOR THE AGING,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,10319,2025,69866436,67483000,reappropriation,13,39.0,2026-27,"17 69,866,436 ....................................... (re. $67,483,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10319|2025|69866436|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10321,2025,353000,353000,reappropriation,13,18.0,2026-27,"20 ... 353,000 ......................................... (re. $353,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10321|2025|353000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10322,2025,40491920,40264000,reappropriation,13,21.0,2026-27,"40 40,491,920 ....................................... (re. $40,264,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10322|2025|40491920|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10323,2025,6190000,6059000,reappropriation,13,41.0,2026-27,"47 6,190,000 ......................................... (re. $6,059,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10323|2025|6190000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10328,2025,656000,656000,reappropriation,13,48.0,2026-27,"54 ... 656,000 ......................................... (re. $656,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10328|2025|656000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10329,2025,1072000,1072000,reappropriation,13,55.0,2026-27,"60 distributed by provider (10329) ... 1,072,000 ..... (re. $1,072,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10329|2025|1072000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10330,2025,4027500,3788000,reappropriation,14,61.0,2026-27,"4 distributed by provider (10330) ... 4,027,500 ..... (re. $3,788,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10330|2025|4027500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10331,2025,4027500,3345000,reappropriation,14,5.0,2026-27,"11 or provide any services (10331) ... 4,027,500 ..... (re. $3,345,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10331|2025|4027500|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10885,2025,1121000,1121000,reappropriation,14,12.0,2026-27,"17 1,121,000 ......................................... (re. $1,121,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10885|2025|1121000|LOCAL ASSISTANCE ACCOUNT - 10000
OFFICE FOR THE AGING,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,10335,2025,1000000,1000000,reappropriation,14,18.0,2026-27,"20 1,000,000 ......................................... (re. $1,000,000)",ATL 26-27 Executive.pdf,False,,OFFICE FOR THE AGING|10335|2025|1000000|LOCAL ASSISTANCE ACCOUNT - 10000
