approp_id,chapter_year,program,fund,approp_amount,reapprop_amount,enacted_page
21834,2019,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,13176180.0,1002000,275
21835,2019,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,9984890.0,1154000,275
21837,2019,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,450000.0,450000,275
55913,2019,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,1500000.0,24000,275
21785,2018,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,368000.0,102000,276
21830,2018,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,15301860.0,346000,276
21832,2018,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,29605920.0,512000,276
21834,2018,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,13176180.0,610000,276
21835,2018,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,9984890.0,266000,276
55913,2018,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,1500000.0,20000,276
21830,2017,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,15301860.0,363000,276
21832,2017,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,29605920.0,818000,277
21834,2017,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,13176180.0,224000,277
21835,2017,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,9984890.0,302000,277
21837,2017,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,450000.0,402000,277
55913,2017,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,1500000.0,102000,277
21785,2016,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,368000.0,128000,277
21830,2016,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,15301860.0,211000,277
21832,2016,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,29605920.0,201000,277
21834,2016,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,13176180.0,72000,277
21835,2016,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,9984890.0,421000,277
21837,2016,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,450000.0,29000,277
55913,2016,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,1500000.0,43000,277
21785,2015,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,368000.0,165000,278
21834,2015,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,11845180.0,161000,278
21785,2014,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,368000.0,111000,278
21830,2014,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,General Fund; Local Assistance Account - 10000,12918260.0,31000,278
23419,2023,OFFICE OF HIGHER EDUCATION AND THE PROFESSIONS PROGRAM,Special Revenue Funds - Federal; Federal Education Fund; Federal Department of Education Account - 25210,5000000.0,5000000,278
21702,2023,OFFICE OF PREKINDERGARTEN THROUGH GRADE TWELVE EDUCATION PROGRAM,General Fund; Local Assistance Account - 10000,169000000.0,151986000,285
