agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21849,2017,8346000,4124000,"38 By chapter 53, section 1, of the laws of 2017, as added by chapter 50,
39 section 2, of the laws of 2017:
40 Grants to individual local governments or groups of cooperating local
41 governments as provided in section 57.35 of the arts and cultural
42 affairs law (21849) ... 8,346,000 ................. (re. $4,124,000)",8,38,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21849|2017|8346000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21831,2023,35129000,12296000,"7 Unrestricted aid to independent colleges and universities, notwith-
8 standing any other provision of law to the contrary, aid otherwise
9 due and payable in the 2023-24 fiscal year shall be limited to the
10 amount appropriated herein; provided that no college or university
11 shall be eligible for a payment in the 2023-24 academic year from
12 this appropriation if the college or university has not submitted to
13 the state education department a plan to improve faculty diversity,
14 which shall include measurable goals and a schedule of reporting on
15 progress toward meeting such goals (21831) .........................
16 35,129,000 ....................................... (re. $12,296,000)",9,7,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21831|2023|35129000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21837,2023,450000,450000,"27 For teacher opportunity corps program awards (21837) .................
28 450,000 ............................................. (re. $450,000)",9,27,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21837|2023|450000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21838,2023,941000,941000,"50 For state financial assistance to expand high needs nursing programs
51 at private colleges and universities in accordance with section
52 6401-a of the education law (21838) ... 941,000 ..... (re. $941,000)",9,50,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21838|2023|941000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23379,2023,350000,350000,"7 For services and expenses of Latino U College Access (LUCA)(23379) ...
8 350,000 ............................................. (re. $350,000)",10,7,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23379|2023|350000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23380,2023,200000,200000,"14 For services and expenses of On Point for College, Inc (23380) ...
15 200,000 ............................................. (re. $200,000)",10,14,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23380|2023|200000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21832,2021,35526920,2522000,"27 For higher education opportunity program awards. Funds appropriated
28 herein shall be used by independent colleges to expand opportunities
29 for the educationally and economically disadvantaged at independent
30 institutions of higher learning, and may be used to support current-
31 ly enrolled HEOP students in projects that phase out (21832) .......
32 35,526,920 ........................................ (re. $2,522,000)",11,27,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21832|2021|35526920
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21834,2021,15811180,890000,"33 For science and technology entry program (STEP) awards (21834) .......
34 15,811,180 .......................................... (re. $890,000)",11,33,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21834|2021|15811180
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21835,2021,11981890,567000,"35 For collegiate science and technology entry program (CSTEP) awards
36 (21835) ... 11,981,890 .............................. (re. $567,000)",11,35,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21835|2021|11981890
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21831,2020,35129000,1757000,"24 Unrestricted aid to independent colleges and universities, notwith-
25 standing any other section of law to the contrary, aid otherwise due
26 and payable in the 2020-21 fiscal year shall be limited to the
27 amount appropriated herein (21831) .................................
28 35,129,000 ........................................ (re. $1,757,000)",12,24,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21831|2020|35129000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21837,2016,450000,29000,"37 For teacher opportunity corps program awards (21837) .................
38 450,000 .............................................. (re. $29,000)",15,37,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21837|2016|450000
EDUCATION DEPARTMENT,AID TO LOCALITIES,Special Revenue Funds - Federal,Federal Department of Education Account - 25210,23419,2023,5000000,5000000,"20 By chapter 53, section 1, of the laws of 2023:
21 For grants to schools and other eligible entities for programs pursu-
22 ant to various federal laws including, but not limited to: title II
23 supporting effective instruction.
24 Notwithstanding any provision of law to the contrary, funds appropri-
25 ated herein may be suballocated, subject to the approval of the
26 director of the budget, to any state agency or department, and
27 interchanged to other accounts, to accomplish the purpose of this
28 appropriation. A portion of this appropriation may be interchanged
29 to other accounts, as needed to accomplish the intent of this appro-
30 priation (23419) ... 5,000,000 .................... (re. $5,000,000)",16,20,2024-25,SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23419|2023|5000000
