agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21849,2018,8346000,2651000,reappropriation,8,33,2024-25,"37 affairs law (21849) ... 8,346,000 ................. (re. $2,651,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21849|2018|8346000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21849,2017,8346000,4124000,reappropriation,8,38,2024-25,"42 affairs law (21849) ... 8,346,000 ................. (re. $4,124,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21849|2017|8346000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21830,2023,24238360,24238360,reappropriation,9,1,2024-25,"6 24,238,360 ....................................... (re. $24,238,360)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21830|2023|24238360
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21831,2023,35129000,12296000,reappropriation,9,7,2024-25,"16 35,129,000 ....................................... (re. $12,296,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21831|2023|35129000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21832,2023,46896420,40191000,reappropriation,9,17,2024-25,"22 46,896,420 ....................................... (re. $40,191,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21832|2023|46896420
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21834,2023,20871680,19694000,reappropriation,9,23,2024-25,"24 20,871,680 ....................................... (re. $19,694,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21834|2023|20871680
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21835,2023,15816390,14270000,reappropriation,9,25,2024-25,"26 (21835) ... 15,816,390 ........................... (re. $14,270,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21835|2023|15816390
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21837,2023,450000,450000,reappropriation,9,27,2024-25,"28 450,000 ............................................. (re. $450,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21837|2023|450000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,55913,2023,7920000,7920000,reappropriation,9,29,2024-25,"49 7,920,000 ......................................... (re. $7,920,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|55913|2023|7920000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21838,2023,941000,941000,reappropriation,9,50,2024-25,"52 6401-a of the education law (21838) ... 941,000 ..... (re. $941,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21838|2023|941000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21785,2023,368000,368000,reappropriation,10,1,2024-25,"3 school year (21785) ... 368,000 ..................... (re. $368,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21785|2023|368000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23344,2023,2000000,2000000,reappropriation,10,4,2024-25,"6 (23344) ... 2,000,000 ............................. (re. $2,000,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23344|2023|2000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23379,2023,350000,350000,reappropriation,10,7,2024-25,"8 350,000 ............................................. (re. $350,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23379|2023|350000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,23380,2023,200000,200000,reappropriation,10,14,2024-25,"15 200,000 ............................................. (re. $200,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|23380|2023|200000
EDUCATION DEPARTMENT,AID TO LOCALITIES,General Fund,Local Assistance Account - 10000,21830,2022,24238360,18904000,reappropriation,10,16,2024-25,"22 24,238,360 ....................................... (re. $18,904,000)",SED ATL Reapprops.pdf,EDUCATION DEPARTMENT|21830|2022|24238360
