agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21707,2025,413000000,0,appropriation,27,50.0,2025-26,"credits (21707) ............................ 413,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21707|2025|413000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21706,2025,1092000000,0,appropriation,28,16.0,2025-26,"credits (21706) .......................... 1,092,000,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21706|2025|1092000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,55938,2025,17180000,0,appropriation,28,46.0,2025-26,"(55938) ..................................... 17,180,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|55938|2025|17180000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21774,2025,466000,0,appropriation,28,53.0,2025-26,"of the budget (21774) .......................... 466,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21774|2025|466000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21775,2025,691000,0,appropriation,29,10.0,2025-26,"(21775) ........................................ 691,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21775|2025|691000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21776,2025,24344000,0,appropriation,29,20.0,2025-26,"public school or school district (21776) .... 24,344,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21776|2025|24344000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21781,2025,932000,0,appropriation,29,47.0,2025-26,"claims for prior school years (21781) .......... 932,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21781|2025|932000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21778,2025,894000,0,appropriation,29,51.0,2025-26,"(21778) ........................................ 894,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21778|2025|894000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21779,2025,1382000,0,appropriation,29,58.0,2025-26,"2007-08 school year (21779) .................. 1,382,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21779|2025|1382000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21800,2025,350000,0,appropriation,29,62.0,2025-26,"say yes to education program (21800) ........... 350,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21800|2025|350000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21782,2025,1240000,0,appropriation,30,4.0,2025-26,"(21782) ...................................... 1,240,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21782|2025|1240000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21833,2025,800000,0,appropriation,30,12.0,2025-26,"state fiscal year 2025-26 (21833) .............. 800,000",Exec 25-26 SED ATL.pdf,EDUCATION DEPARTMENT|21833|2025|800000
