agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,56029,2024,1200000,0,appropriation,20,11,2024-25,"the 2024-25 school year (56029) .............. 1,200,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|56029|2024|1200000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21759,2024,17500000,0,appropriation,21,14,2024-25,"accrue (21759) .............................. 17,500,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21759|2024|17500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21762,2024,96000000,0,appropriation,21,42,2024-25,"er to accrue (21762) ........................ 96,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21762|2024|96000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23346,2024,2000000,0,appropriation,22,12,2024-25,"the senate upon a roll call vote (23346) ..... 2,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23346|2024|2000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,56043,2024,12000000,0,appropriation,22,14,2024-25,"City School District (56043) ................ 12,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|56043|2024|12000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23328,2024,175000,0,appropriation,22,18,2024-25,"Union Free School District (23328) ............. 175,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23328|2024|175000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,56042,2024,175000,0,appropriation,22,20,2024-25,"Union Free School District (56042) ............. 175,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|56042|2024|175000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23329,2024,175000,0,appropriation,22,22,2024-25,"City School District (23329) ................... 175,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23329|2024|175000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55949,2024,225000,0,appropriation,22,24,2024-25,"Central School District (55949) ................ 225,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55949|2024|225000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,56138,2024,340000000,0,appropriation,23,17,2024-25,"education law (56138) ...................... 340,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|56138|2024|340000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55907,2024,150000000,0,appropriation,24,15,2024-25,"117-2) (55907) ............................. 150,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55907|2024|150000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55971,2024,120000000,0,appropriation,24,19,2024-25,"3602 of the education law (55971) .......... 120,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55971|2024|120000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,23306,2024,195613000,0,appropriation,29,2,2024-25,"grants (23306) ............................. 195,613,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|23306|2024|195613000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55962,2024,1200000,0,appropriation,29,17,2024-25,"assistance to operate such centers (55962) ... 1,200,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55962|2024|1200000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55928,2024,18000000,0,appropriation,29,23,2024-25,"(55928) ..................................... 18,000,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55928|2024|18000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,21763,2024,1303000,0,appropriation,29,41,2024-25,"the director of the budget (21763) ........... 1,303,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|21763|2024|1303000
EDUCATION DEPARTMENT,AID TO LOCALITIES,general fund,Local Assistance Account - 10000,55985,2024,6418000,0,appropriation,29,45,2024-25,"the 2023-24 school year (55985) .............. 6,418,000",Enacted 24-25 SED ATL.pdf,EDUCATION DEPARTMENT|55985|2024|6418000
