agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,record_type,page_number,line_number,fiscal_year,raw_line,source_file,has_underlined_content,underlined_text,composite_key
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Weights and Measures Account - 22150,10910,2022,221000,37000,reappropriation,36,26.0,2025-26,"29 Personal service--regular (50100) ... 221,000 .......... (re. $37,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2022|221000|WEIGHTS AND MEASURES ACCOUNT - 22150
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,Weights and Measures Account - 22150,10910,2021,207000,20000,reappropriation,36,38.0,2025-26,"41 Personal service--regular (50100) ... 207,000 .......... (re. $20,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10910|2021|207000|WEIGHTS AND MEASURES ACCOUNT - 22150
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,State Fair Account - 50051,10904,2024,7225000,5874000,reappropriation,37,6.0,2025-26,"23 Personal service--regular (50100) ... 7,225,000 ..... (re. $5,874,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10904|2024|7225000|STATE FAIR ACCOUNT - 50051
DEPARTMENT OF AGRICULTURE AND MARKETS,STATE OPERATIONS,Special Revenue Funds - Other,State Fair Account - 50051,10904,2023,7128000,5148000,reappropriation,37,30.0,2025-26,"47 Personal service--regular (50100) ... 7,128,000 ..... (re. $5,148,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF AGRICULTURE AND MARKETS|10904|2023|7128000|STATE FAIR ACCOUNT - 50051
ALCOHOLIC BEVERAGE CONTROL,STATE OPERATIONS,Special Revenue Funds - Other,New York State Cannabis Revenue Account - 24800,11511,2024,1000000,1000000,reappropriation,44,5.0,2025-26,"25 Contractual services (51000) ... 1,000,000 .......... (re. $1,000,000)",STOPS 25-26.pdf,False,,ALCOHOLIC BEVERAGE CONTROL|11511|2024|1000000|NEW YORK STATE CANNABIS REVENUE ACCOUNT - 24800
ALCOHOLIC BEVERAGE CONTROL,STATE OPERATIONS,Special Revenue Funds - Other,New York State Cannabis Revenue Account - 24800,11509,2023,18322000,4754000,reappropriation,44,26.0,2025-26,"48 Personal service--regular (50100) ... 18,322,000 .... (re. $4,754,000)",STOPS 25-26.pdf,False,,ALCOHOLIC BEVERAGE CONTROL|11509|2023|18322000|NEW YORK STATE CANNABIS REVENUE ACCOUNT - 24800
ALCOHOLIC BEVERAGE CONTROL,STATE OPERATIONS,Special Revenue Funds - Other,New York State Cannabis Revenue Account - 24800,11511,2023,1000000,1000000,reappropriation,45,5.0,2025-26,"24 Contractual services (51000) ... 1,000,000 .......... (re. $1,000,000)",STOPS 25-26.pdf,False,,ALCOHOLIC BEVERAGE CONTROL|11511|2023|1000000|NEW YORK STATE CANNABIS REVENUE ACCOUNT - 24800
ALCOHOLIC BEVERAGE CONTROL,STATE OPERATIONS,Special Revenue Funds - Other,New York State Cannabis Revenue Account - 24800,11509,2022,9072000,216000,reappropriation,45,25.0,2025-26,"47 Personal service--regular (50100) ... 9,072,000 ....... (re. $216,000)",STOPS 25-26.pdf,False,,ALCOHOLIC BEVERAGE CONTROL|11509|2022|9072000|NEW YORK STATE CANNABIS REVENUE ACCOUNT - 24800
ALCOHOLIC BEVERAGE CONTROL,STATE OPERATIONS,Special Revenue Funds - Other,New York State Cannabis Revenue Fund Account - 24800,11511,2022,1000000,1000000,reappropriation,46,2.0,2025-26,"21 Contractual services (51000) ... 1,000,000 .......... (re. $1,000,000)",STOPS 25-26.pdf,False,,ALCOHOLIC BEVERAGE CONTROL|11511|2022|1000000|NEW YORK STATE CANNABIS REVENUE FUND ACCOUNT - 24800
ALCOHOLIC BEVERAGE CONTROL,STATE OPERATIONS,Special Revenue Funds - Other,New York State Cannabis Revenue Fund Account - 24800,11511,2021,1000000,383000,reappropriation,46,25.0,2025-26,"45 Contractual services ... 1,000,000 .................... (re. $383,000)",STOPS 25-26.pdf,False,,ALCOHOLIC BEVERAGE CONTROL|11511|2021|1000000|NEW YORK STATE CANNABIS REVENUE FUND ACCOUNT - 24800
ALCOHOLIC BEVERAGE CONTROL,STATE OPERATIONS,Special Revenue Funds - Other,Medical Cannabis Health Operations and Oversight Account - 23755,11509,2021,9072000,7192000,reappropriation,47,46.0,2025-26,"20 Personal service--regular (50100) ... 9,072,000 ..... (re. $7,192,000)",STOPS 25-26.pdf,False,,ALCOHOLIC BEVERAGE CONTROL|11509|2021|9072000|MEDICAL CANNABIS HEALTH OPERATIONS AND OVERSIGHT ACCOUNT - 23755
ALCOHOLIC BEVERAGE CONTROL,STATE OPERATIONS,Special Revenue Funds - Other,Medical Cannabis Health Operations and Oversight Account - 23755,11510,2023,4410000,3136000,reappropriation,47,30.0,2025-26,"48 Personal service--regular (50100) ... 4,410,000 ..... (re. $3,136,000)",STOPS 25-26.pdf,False,,ALCOHOLIC BEVERAGE CONTROL|11510|2023|4410000|MEDICAL CANNABIS HEALTH OPERATIONS AND OVERSIGHT ACCOUNT - 23755
ALCOHOLIC BEVERAGE CONTROL,STATE OPERATIONS,Special Revenue Funds - Other,Medical Cannabis Health Operations and Oversight Account - 23755,11510,2022,4410000,3262000,reappropriation,48,5.0,2025-26,"23 Personal service--regular (50100) ... 4,410,000 ..... (re. $3,262,000)",STOPS 25-26.pdf,False,,ALCOHOLIC BEVERAGE CONTROL|11510|2022|4410000|MEDICAL CANNABIS HEALTH OPERATIONS AND OVERSIGHT ACCOUNT - 23755
ALCOHOLIC BEVERAGE CONTROL,STATE OPERATIONS,Special Revenue Funds - Other,Medical Cannabis Health Operations and Oversight Account - 23755,11510,2021,4410000,1881000,reappropriation,48,30.0,2025-26,"48 Personal service--regular (50100) ... 4,410,000 ..... (re. $1,881,000)",STOPS 25-26.pdf,False,,ALCOHOLIC BEVERAGE CONTROL|11510|2021|4410000|MEDICAL CANNABIS HEALTH OPERATIONS AND OVERSIGHT ACCOUNT - 23755
COUNCIL ON THE ARTS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2024,400000,400000,reappropriation,52,29.0,2025-26,"32 Nonpersonal service (57050) ... 400,000 ............... (re. $400,000)",STOPS 25-26.pdf,False,,COUNCIL ON THE ARTS|81001|2024|400000|STATE PURPOSES ACCOUNT - 10050
COUNCIL ON THE ARTS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2023,400000,400000,reappropriation,52,33.0,2025-26,"36 Nonpersonal service (57050) ... 400,000 ............... (re. $400,000)",STOPS 25-26.pdf,False,,COUNCIL ON THE ARTS|81001|2023|400000|STATE PURPOSES ACCOUNT - 10050
COUNCIL ON THE ARTS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2022,400000,400000,reappropriation,52,37.0,2025-26,"40 Nonpersonal service (57050) ... 400,000 ............... (re. $400,000)",STOPS 25-26.pdf,False,,COUNCIL ON THE ARTS|81001|2022|400000|STATE PURPOSES ACCOUNT - 10050
COUNCIL ON THE ARTS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2021,100000,100000,reappropriation,53,41.0,2025-26,"1 Nonpersonal service (57050) ... 100,000 ............... (re. $100,000)",STOPS 25-26.pdf,False,,COUNCIL ON THE ARTS|81001|2021|100000|STATE PURPOSES ACCOUNT - 10050
COUNCIL ON THE ARTS,STATE OPERATIONS,General Fund,State Purposes Account - 10050,81001,2019,100000,50000,reappropriation,53,2.0,2025-26,"5 Nonpersonal service (57050) ... 100,000 ................ (re. $50,000)",STOPS 25-26.pdf,False,,COUNCIL ON THE ARTS|81001|2019|100000|STATE PURPOSES ACCOUNT - 10050
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15484,2025,52300300,0,appropriation,69,9.0,2025-26,"students (15484) ............................ 52,300,300",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15484|2025|52300300|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15485,2025,12166900,0,appropriation,69,12.0,2025-26,"(15485) ..................................... 12,166,900",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15485|2025|12166900|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15532,2025,2000000,0,appropriation,69,21.0,2025-26,"et (15532) ................................... 2,000,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15532|2025|2000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15435,2025,55541000,0,appropriation,69,35.0,2025-26,"6206 of the education law (15435) ........... 55,541,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15435|2025|55541000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15436,2025,53000000,0,appropriation,69,38.0,2025-26,"colleges (15436) ............................ 53,000,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15436|2025|53000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15448,2025,265000000,0,appropriation,69,46.0,2025-26,"(15448) .................................... 265,000,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15448|2025|265000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15421,2025,37053500,0,appropriation,70,18.0,2025-26,"students (15421) ............................ 37,053,500",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15421|2025|37053500|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15487,2025,52842400,0,appropriation,70,28.0,2025-26,"rentals (15487) ............................. 52,842,400",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15487|2025|52842400|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15488,2025,78627900,0,appropriation,70,30.0,2025-26,"costs (15488) ............................... 78,627,900",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15488|2025|78627900|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15489,2025,1063326000,0,appropriation,70,32.0,2025-26,"social security payments (15489) ......... 1,063,326,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15489|2025|1063326000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15491,2025,1430000,0,appropriation,71,4.0,2025-26,"required matching funds (15491) .............. 1,430,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15491|2025|1430000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15492,2025,1700000,0,appropriation,71,11.0,2025-26,"(15492) ...................................... 1,700,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15492|2025|1700000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15533,2025,1060000,0,appropriation,71,16.0,2025-26,"residents of the state of New York (15533) ... 1,060,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15533|2025|1060000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15534,2025,1444000,0,appropriation,71,18.0,2025-26,"student financial aid (15534) ................ 1,444,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15534|2025|1444000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15493,2025,1070000,0,appropriation,71,20.0,2025-26,"language immersion programs (15493) .......... 1,070,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15493|2025|1070000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15535,2025,3309000,0,appropriation,71,22.0,2025-26,"(15535) ...................................... 3,309,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15535|2025|3309000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15494,2025,9000000,0,appropriation,71,23.0,2025-26,"For payment of tuition reimbursement (15494) ... 9,000,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15494|2025|9000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15540,2025,1815000,0,appropriation,71,25.0,2025-26,"(15540) ...................................... 1,815,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15540|2025|1815000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15405,2025,250000,0,appropriation,71,28.0,2025-26,"(15405) ........................................ 250,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15405|2025|250000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15428,2025,1000000,0,appropriation,71,30.0,2025-26,"mental health services (15428) ............... 1,000,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15428|2025|1000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15429,2025,20000,0,appropriation,71,34.0,2025-26,"programmatic initiatives (15429) ................ 20,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15429|2025|20000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15430,2025,835000,0,appropriation,71,36.0,2025-26,"ACE Learning Center (15430) .................... 835,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15430|2025|835000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15439,2025,1000000,0,appropriation,71,42.0,2025-26,"tor of the budget (15439) .................... 1,000,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15439|2025|1000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15412,2025,21000000,0,appropriation,72,32.0,2025-26,"York city funded programs (15412) ........... 21,000,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15412|2025|21000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15408,2025,192200000,0,appropriation,73,20.0,2025-26,"liability of the state (15408) ............. 192,200,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15408|2025|192200000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15417,2025,187000000,0,appropriation,73,31.0,2025-26,"(15417) .................................... 187,000,000",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15417|2025|187000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15469,2023,50000000,48700000,reappropriation,74,5.0,2025-26,"13 50,000,000 ....................................... (re. $48,700,000)",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15469|2023|50000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15419,2022,40000000,36667000,reappropriation,74,14.0,2025-26,"20 the budget (15419) ... 40,000,000 ................ (re. $36,667,000)",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15419|2022|40000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15439,2024,1000000,1000000,reappropriation,74,25.0,2025-26,"29 of the budget (15439) ... 1,000,000 ............... (re. $1,000,000)",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15439|2024|1000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15470,2024,1000000,175000,reappropriation,74,30.0,2025-26,"31 programs _(_1_5_4_7_0_) ... 1,000,000 ...................... (re. $175,000)",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15470|2024|1000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15439,2023,1000000,980000,reappropriation,74,32.0,2025-26,"36 of the budget (15439) ... 1,000,000 ................. (re. $980,000)",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15439|2023|1000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15439,2022,1000000,943000,reappropriation,74,37.0,2025-26,"41 of the budget _(_1_5_4_3_9_) ... 1,000,000 ................. (re. $943,000)",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15439|2022|1000000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
CITY UNIVERSITY OF NEW YORK,STATE OPERATIONS,general fund,CUNY Senior College Operating Account - 60851,15437,2022,3600000,2400000,reappropriation,75,42.0,2025-26,"4 ... 3,600,000 ..................................... (re. $2,400,000)",STOPS 25-26.pdf,False,,CITY UNIVERSITY OF NEW YORK|15437|2022|3600000|CUNY SENIOR COLLEGE OPERATING ACCOUNT - 60851
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,STATE OPERATIONS,Special Revenue Funds - Federal,Correctional Services-NIC Grants Account - 25306,17559,2024,34000000,34000000,reappropriation,95,5.0,2025-26,"9 Personal service (50000) ... 34,000,000 ............ (re. $34,000,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|17559|2024|34000000|CORRECTIONAL SERVICES-NIC GRANTS ACCOUNT - 25306
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,STATE OPERATIONS,Special Revenue Funds - Federal,Correctional Services-NIC Grants Account - 25306,17559,2023,34000000,34000000,reappropriation,95,10.0,2025-26,"14 Personal service (50000) ... 34,000,000 ............ (re. $34,000,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|17559|2023|34000000|CORRECTIONAL SERVICES-NIC GRANTS ACCOUNT - 25306
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,STATE OPERATIONS,Special Revenue Funds - Federal,Correctional Services-NIC Grants Account - 25306,17559,2022,34000000,34000000,reappropriation,95,15.0,2025-26,"19 Personal service (50000) ... 34,000,000 ............ (re. $34,000,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|17559|2022|34000000|CORRECTIONAL SERVICES-NIC GRANTS ACCOUNT - 25306
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,STATE OPERATIONS,Special Revenue Funds - Federal,Correctional Services-NIC Grants Account - 25306,17559,2021,34000000,34000000,reappropriation,95,20.0,2025-26,"24 Personal service (50000) ... 34,000,000 ............ (re. $34,000,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|17559|2021|34000000|CORRECTIONAL SERVICES-NIC GRANTS ACCOUNT - 25306
DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION,STATE OPERATIONS,Special Revenue Funds - Federal,Correctional Services-NIC Grants Account - 25306,17559,2020,34000000,34000000,reappropriation,95,25.0,2025-26,"29 Personal service (50000) ... 34,000,000 ............ (re. $34,000,000)",STOPS 25-26.pdf,False,,DEPARTMENT OF CORRECTIONS AND COMMUNITY SUPERVISION|17559|2020|34000000|CORRECTIONAL SERVICES-NIC GRANTS ACCOUNT - 25306
