agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23387,2022,25000000,20917000,"22 By chapter 53, section 1, of the laws of 2022:
23 For universal prekindergarten expansion grants for prekindergarten
24 programs serving four-year-old students in new full-day placements
25 or for the conversion of half-day placements to full-day placements
26 for programs operating in the 2022-23 school year, based on a
27 request for proposals, in which all school districts would be eligi-
28 ble to apply, developed by the commissioner of education and
29 approved by the director of the budget, provided further that the
30 commissioner of education shall evaluate applications and make
31 awards on a competitive basis based on merit and factors including,
32 but not limited to, the following: (i) the extent to which the
33 district's proposal would prioritize funds to maximize the total
34 number of eligible children in the district served in prekindergar-
35 ten programs, (ii) proposal quality, and (iii) the level of existing
36 prekindergarten services in the district; provided that preference
37 for the 2022-23 awards shall be given to programs serving high
38 levels of economically disadvantaged students. Provided further that
39 funds appropriated herein shall only be awarded to school districts
40 which meet the requirements of section 3602-ee of the education law.
41 Provided that grants awarded pursuant to this request for proposal
42 process shall be equal to $7,000 per pupil for students served by
43 teachers without a certificate valid for service in early childhood
44 grades and $10,000 per pupil for students served by teachers with
45 valid certificates for service in early childhood grades. Programs
46 shall (i) provide instruction for at least five hours per school day
47 for full-day prekindergarten programs; (ii) agree to offer instruc-
48 tion consistent with applicable New York state prekindergarten early
49 learning standards; and (iii) otherwise comply with all of the same
50 rules and requirements as the statewide universal prekindergarten
AB
360 12553-09-5
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 programs pursuant to section 3602-ee of the education law except as
2 modified herein.
3 Provided further that funds appropriated herein shall only be used to
4 supplement and not supplant current local expenditures of federal,
5 state or local funds on prekindergarten programs and the number of
6 placements in such programs from such sources and that current local
7 expenditures shall include any local expenditures of federal, state
8 or local funds used to supplement or extend services provided
9 directly or via contract to eligible children enrolled in a
10 universal prekindergarten program in accordance with section 3602-e
11 of the education law.
12 Notwithstanding any provision of law to the contrary, programs that
13 provide services for fewer than 180 days will be subject to the
14 provisions of subdivision 16 of section 3602-e of the education law
15 (23387) ... 25,000,000 ........................... (re. $20,917,000)",360,22.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23387|2022|25000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,55907,2022,185000000,17469000,"16 For reimbursement of supplemental basic tuition payments to charter
17 schools made by school districts in the 2021-22 school year, as
18 defined by paragraph (a) of subdivision 1 of section 2856 of the
19 education law (55907) ... 185,000,000 ............ (re. $17,469,000)",360,16.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55907|2022|185000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,55971,2022,100000000,6611000,"20 For charter schools facilities aid for the 2021-22 school year and
21 prior school years pursuant to subdivision 6-g of section 3602 of
22 the education law (55971) ... 100,000,000 ......... (re. $6,611,000)",360,20.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55971|2022|100000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,55964,2022,55000000,55000000,"38 For services and expenses related to nonpublic school STEM programs
39 (55964) ... 55,000,000 ........................... (re. $55,000,000)",365,38.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|55964|2022|55000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21707,2022,364500000,11500000,"17 For July and August programs for school-aged children with handicap-
18 ping conditions pursuant to section 4408 of the education law.
19 Moneys appropriated herein shall be used as follows: (i) for remain-
20 ing base year and prior school years obligations, (ii) for the
21 purposes of subdivision 4 of section 3602 of the education law for
22 schools operated under articles 87 and 88 of the education law, and
23 (iii) notwithstanding any inconsistent provision of law, for
24 payments made pursuant to this appropriation for current school year
25 obligations, provided, however, that such payments shall not exceed
26 70 percent of the state aid due for the sum of the approved tuition
27 and maintenance rates and transportation expense provided for here-
28 in; provided, however, that eligible claims shall be payable in the
29 order that such claims have been approved for payment by the commis-
30 sioner of education, but in no case shall a single payee draw down
31 more than 45 percent of this appropriation, and provided further
32 that no claim shall be set aside for insufficiency of funds to make
33 a complete payment, but shall be eligible for a partial payment in
34 one year and shall retain its priority date status for subsequent
35 appropriations designated for such purposes. Notwithstanding any
36 inconsistent provision of law, funds appropriated herein shall only
37 be available for liabilities incurred prior to July 1, 2023, shall
38 be used to pay 2021-22 school year claims in the first instance, and
39 represent the maximum amount payable during the 2022-23 state fiscal
40 year.
41 Notwithstanding any provision of law to the contrary, funds appropri-
42 ated herein shall be available for payment of liabilities heretofore
43 accrued or hereafter to accrue and, subject to the approval of the
44 director of the budget, such funds shall be available to the depart-
45 ment net of disallowances, refunds, reimbursements and credits
46 (21707) ... 364,500,000 .......................... (re. $11,500,000)",366,17.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21707|2022|364500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21706,2022,1035000000,211492000,"47 For the state's share of the costs of the education of preschool chil-
48 dren with disabilities pursuant to section 4410 of the education
49 law. Notwithstanding any inconsistent provision of law to the
50 contrary, the amount appropriated herein shall support a state share
51 of preschool handicapped education costs for the 2021-22 school year
52 limited to 59.5 percent of such total approved expenditures, and
AB
367 12553-09-5
EDUCATION DEPARTMENT
AID TO LOCALITIES - REAPPROPRIATIONS 2025-26
1 furthermore, notwithstanding any other provision of law, local
2 claims for reimbursement of costs incurred prior to the 2020-21
3 school year and during the 2020-21 school year that have been
4 approved for payment by the education department as of March 31,
5 2022 shall be the first claims paid from this appropriation.
6 Notwithstanding any provision of law to the contrary, funds appropri-
7 ated herein shall be available for payment of liabilities heretofore
8 accrued or hereafter to accrue and, subject to the approval of the
9 director of the budget, such funds shall be available to the depart-
10 ment net of disallowances, refunds, reimbursements and credits
11 (21706) ... 1,035,000,000 ....................... (re. $211,492,000)",367,47.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21706|2022|1035000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,21733,2022,475000,475000,"33 For services and expenses of the Executive Leadership Institute
34 _(_2_1_7_3_3_) ............................................................
35 475,000 ............................................. (re. $475,000)",368,33.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21733|2022|475000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23319,2022,475000,475000,"36 For services and expenses of the Magellan Foundation, Inc. _(_2_3_3_1_9_) ...
37 475,000 ............................................. (re. $475,000)",368,36.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23319|2022|475000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,56150,2022,450000,450000,"20 For services and expenses of United Community Schools, Incorporated
21 _(_5_6_1_5_0_) ... 450,000 ................................. (re. $450,000)",369,20.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|56150|2022|450000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23320,2022,40000,40000,"22 For services and expenses of the Long Island Latino Teachers Associ-
23 ation _(_2_3_3_2_0_) ... 40,000 ............................. (re. $40,000)",369,22.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23320|2022|40000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23356,2022,650000,650000,"24 For services and expenses of NYC Kids RISE, Inc _(_2_3_3_5_6_) ..............
25 650,000 ............................................. (re. $650,000)",369,24.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23356|2022|650000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Local Assistance Account - 10000,23386,2022,150000,150000,"26 For services and expenses of the Universal Hip Hop Museum _(_2_3_3_8_6_) ....
27 150,000 ............................................. (re. $150,000)",369,26.0,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23386|2022|150000
