agency,budget_type,fund_type,account,appropriation_id,chapter_year,appropriation_amount,reappropriation_amount,bill_language,page_number,line_number,fiscal_year,source_file,composite_key
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,21707,2025,413000000,0,"299 12553-09-5 EDUCATION DEPARTMENT AID TO LOCALITIES 2025-26 1 tor of the budget, such funds shall be 2 available to the department net of disal- 3 lowances, refunds, reimbursements and 4 credits (21707) ............................ 413,000,000",299,4,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21707|2025|413000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,21706,2025,1092000000,0,"5 For the state's share of the costs of the 6 education of preschool children with disa- 7 bilities pursuant to section 4410 of the 8 education law. Notwithstanding any incon- 9 sistent provision of law to the contrary, 10 the amount appropriated herein shall 11 support a state share of preschool hand- 12 icapped education costs for the 2024-25 13 school year limited to 59.5 percent of 14 such total approved expenditures, and 15 furthermore, notwithstanding any other 16 provision of law, local claims for 17 reimbursement of costs incurred prior to 18 the 2023-24 school year and during the 19 2023-24 school year that have been 20 approved for payment by the education 21 department as of March 31, 2025 shall be 22 the first claims paid from this appropri- 23 ation. 24 Notwithstanding any provision of law to the 25 contrary, funds appropriated herein shall 26 be available for payment of liabilities 27 heretofore accrued or hereafter to accrue 28 and, subject to the approval of the direc- 29 tor of the budget, such funds shall be 30 available to the department net of disal- 31 lowances, refunds, reimbursements and 32 credits (21706) .......................... 1,092,000,000",299,32,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21706|2025|1092000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,21792,2025,500000,0,"45 For additional services and expenses of the 46 center for autism and related disabilities 47 at the state university of New York at 48 Albany (21792) ................................. 500,000",301,48,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21792|2025|500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,21802,2025,1500000,0,"20 For additional reimbursement of services and 21 expenses for the consortium for worker 22 education (CWE)(21802) ....................... 1,500,000",302,22,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21802|2025|1500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,21733,2025,1000000,0,"43 For services and expenses of the Executive 44 Leadership Institute (21733) ................. 1,000,000",302,44,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|21733|2025|1000000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,23319,2025,500000,0,"45 For services and expenses of the Magellan 46 Foundation, Inc. (23319) ....................... 500,000",302,46,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23319|2025|500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,57021,2025,100000,0,"19 For services and expenses of the Hillside 20 Children's Center (57021) ...................... 100,000",303,20,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|57021|2025|100000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,23348,2025,300000,0,"39 For services and expenses of the Fund for 40 the City of New York - Promise Project 41 (23348) ........................................ 300,000",303,41,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23348|2025|300000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,56150,2025,500000,0,"42 For services and expenses of United Communi- 43 ty Schools, Incorporated (56150) ............... 500,000",303,43,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|56150|2025|500000
EDUCATION DEPARTMENT,AID TO LOCALITIES,special revenue funds-federal,Grants Account - 20191,23323,2025,750000,0,"44 For services and expenses of the Long Island 45 Pre-K Initiative operated by Nassau BOCES 46 (23323) ........................................ 750,000",303,46,2025-26,ATL 25-26.pdf,EDUCATION DEPARTMENT|23323|2025|750000
